1945,1
1946,1
1948,1
1951,1
1954,1
1962,1
1963,1
1965,2
1966,1
1970,1
1972,1
1973,1
1974,1
1975,3
1977,7
1978,5
1979,2
1980,1
1981,8
1982,3
1983,4
1984,2
1985,3
1986,4
1987,15
1988,15
1989,20
1990,31
1991,31
1992,45
1993,115
1994,227
1995,628
1996,632
1997,1774
1998,4910
1999,16679
2000,49381
2001,101755
2002,177424
2003,208838
2004,202947
2005,188968
2006,161013
2007,120502
2008,70245
2009,29481
2010,4871
